category,value
Rechnungsstellung allg.,1312
"Sperrung/Annulation Dienstleistung, Vertragskündigung",870
Roaming,304
Versorgungsqualität Festnetz,128
Kundendienst,123
Dienstleistungsqualität allg.,111
Unverlangte Dienstleistung,100
Nummernportierung,76
MWD allg.,74
Versorgungsqualität Mobile,67
Sprach- und Datenkommunikation allg.,27
Diverses,21
Technologiewechsel,10
Anbieterwechsel allg.,6
MWD Erwachsenenunterhaltung,6
Preselection,6
unbekannt,4
"MWD Auskunft, Beratung, Information",1
"MWD Quiz, Wettbewerbe",1
MWD Währungskäufe,0
MWD Warenkäufe,0
